,1989年1月,1989年2月,1989年3月,1989年4月,1989年5月,1989年6月,1989年7月,1989年8月,1989年9月,1989年10月,1989年11月,1989年12月,1990年1月,1990年2月,1990年3月,1990年4月,1990年5月,1990年6月,1990年7月,1990年8月,1990年9月,1990年10月,1990年11月,1990年12月,1991年1月,1991年2月,1991年3月,1991年4月,1991年5月,1991年6月,1991年7月,1991年8月,1991年9月,1991年10月,1991年11月,1991年12月,1992年1月,1992年2月,1992年3月,1992年4月,1992年5月,1992年6月,1992年7月,1992年8月,1992年9月,1992年10月,1992年11月,1992年12月,1993年1月,1993年2月,1993年3月,1993年4月,1993年5月,1993年6月,1993年7月,1993年8月,1993年9月,1993年10月,1993年11月,1993年12月,1994年1月,1994年2月,1994年3月,1994年4月,1994年5月,1994年6月,1994年7月,1994年8月,1994年9月,1994年10月,1994年11月,1994年12月,1995年1月,1995年2月,1995年3月,1995年4月,1995年5月,1995年6月,1995年7月,1995年8月,1995年9月,1995年10月,1995年11月,1995年12月,1996年1月,1996年2月,1996年3月,1996年4月,1996年5月,1996年6月,1996年7月,1996年8月,1996年9月,1996年10月,1996年11月,1996年12月,1997年1月,1997年2月,1997年3月,1997年4月,1997年5月,1997年6月,1997年7月,1997年8月,1997年9月,1997年10月,1997年11月,1997年12月,1998年1月,1998年2月,1998年3月,1998年4月,1998年5月,1998年6月,1998年7月,1998年8月,1998年9月,1998年10月,1998年11月,1998年12月,1999年1月,1999年2月,1999年3月,1999年4月,1999年5月,1999年6月,1999年7月,1999年8月,1999年9月,1999年10月,1999年11月,1999年12月,2000年1月,2000年2月,2000年3月,2000年4月,2000年5月,2000年6月,2000年7月,2000年8月,2000年9月,2000年10月,2000年11月,2000年12月,2001年1月,2001年2月,2001年3月,2001年4月,2001年5月,2001年6月,2001年7月,2001年8月,2001年9月,2001年10月,2001年11月,2001年12月,2002年1月,2002年2月,2002年3月,2002年4月,2002年5月,2002年6月,2002年7月,2002年8月,2002年9月,2002年10月,2002年11月,2002年12月,2003年1月,2003年2月,2003年3月,2003年4月,2003年5月,2003年6月,2003年7月,2003年8月,2003年9月,2003年10月,2003年11月,2003年12月,2004年1月,2004年2月,2004年3月,2004年4月,2004年5月,2004年6月,2004年7月,2004年8月,2004年9月,2004年10月,2004年11月,2004年12月,2005年1月,2005年2月,2005年3月,2005年4月,2005年5月,2005年6月,2005年7月,2005年8月,2005年9月,2005年10月,2005年11月,2005年12月,2006年1月,2006年2月,2006年3月,2006年4月,2006年5月,2006年6月,2006年7月,2006年8月,2006年9月,2006年10月,2006年11月,2006年12月,2007年1月,2007年2月,2007年3月,2007年4月,2007年5月,2007年6月,2007年7月,2007年8月,2007年9月,2007年10月,2007年11月,2007年12月,2008年1月,2008年2月,2008年3月,2008年4月,2008年5月,2008年6月,2008年7月,2008年8月,2008年9月,2008年10月,2008年11月,2008年12月,2009年1月,2009年2月,2009年3月,2009年4月,2009年5月,2009年6月,2009年7月,2009年8月,2009年9月,2009年10月,2009年11月,2009年12月,2010年1月,2010年2月,2010年3月,2010年4月,2010年5月,2010年6月,2010年7月,2010年8月,2010年9月,2010年10月,2010年11月,2010年12月,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
機械器具製造業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電気機械器具製造業,1496926,1530229,1659993,1628061,1550132,1801742,1935266,1859326,1945564,1795213,1744245,1716162,1633434,1697535,1811232,1755721,1748967,2056523,2213849,2083592,2153779,2061091,1939336,1900091,1829169,1903995,2028240,1988739,1970093,2264153,2462322,2198332,2327441,2213194,2085369,2009055,1940139,1994136,2079355,1998088,1950313,2238745,2444581,2200204,2327871,2189782,2042743,2014972,1937449,1978792,2152791,2045991,1988643,2291426,2405856,2207929,2327383,2177811,2115166,2071945,2014811,2038888,2215490,2120312,2075981,2398768,2628002,2473224,2509224,2356853,2264171,2228256,2127349,2188421,2353331,2245553,2189120,2486786,2706802,2641281,2583619,2495241,2372653,2364088,2258276,2390819,2451601,2342383,2320109,2623178,2876780,2649688,2674243,2606814,2504364,2467260,2418560,2418914,2560946,2473140,2522723,2778473,3021895,2814844,2881463,2738683,2587043,2574547,2512045,2487493,2640752,2586597,2573285,2823346,3025388,2821183,2912642,2777369,2535346,2501452,2422912,2448390,2614794,2537779,2515348,2834790,3007962,2932612,3027375,2816778,2672325,2659488,2557414,2644044,2769440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
輸送用機械器具製造業,1620724,1662122,1879307,1694982,1591943,1866373,1911443,1738335,1966353,1869812,1881046,1820925,1714393,1857927,2006003,1869754,1800724,2031766,2179823,1908692,2088460,2132299,1985194,1937654,1909677,2000507,2053603,1879609,1856692,2054304,2357024,1938938,2185737,2168315,2091143,1995225,1987568,2043370,2124297,1922406,1803924,2096702,2306186,1836172,2245429,2086298,2006217,1922598,1869479,2019351,2191435,1878362,1753379,2021440,2131263,1744735,2073159,1894388,1901866,1757359,1763144,1884384,2090222,1804369,1626285,2064633,2205793,1812105,2154569,1987278,2004737,1944049,1834614,2016201,2202783,1914805,1739526,2026780,2140253,1872725,2027025,1953256,1957686,1894508,1815369,2070402,2070241,1852244,1795199,2014355,2340366,1874280,2149433,2109436,2054796,1959131,2059389,2078913,2210890,1952020,1947647,2175404,2444821,1917951,2266778,2136931,1981907,1957550,1977879,2028940,2108569,1843369,1785941,2080328,2279834,1790393,2221486,2087431,1932608,1869032,1832370,1966344,2107392,1766092,1704858,2054260,2205887,1850327,2258582,1989515,1970209,1863005,1806811,2066795,2162588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,655973,681575,734950,676506,643861,746798,794116,770010,804268,742239,739586,745168,722429,751558,790836,737825,716036,839951,902628,843763,874907,828870,783604,785912,771104,816033,835566,784611,758538,865071,967712,843937,894681,844458,802936,787258,788127,809603,819323,762093,708876,825827,907900,794372,869495,801453,757903,766094,745867,778176,829910,749508,695310,814310,854738,768426,837199,752788,754063,752289,744193,770574,822129,738608,698391,844659,929351,858396,901853,814782,811487,817164,784738,841925,887526,799034,748165,867578,933555,906875,891122,840200,832113,848904,810467,889699,880051,824596,791218,884935,1010167,886848,914743,885709,856273,862232,860999,886963,894580,858236,837075,937255,1051298,925608,1001175,920884,853784,890974,882039,886743,911977,855800,815108,934761,1012152,893853,968811,904443,824734,840199,815614,864549,896589,806611,757469,901773,953843,901288,982492,870756,849444,865700,826318,913718,934054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
機械器具製造業計,3773623,3873926,4274250,3981549,3785936,4414913,4640825,4367671,4716185,4407264,4364877,4282255,4070256,4307020,4608071,4363300,4265727,4928240,5296300,4836047,5117146,5022260,4708134,4623657,4509950,4720535,4917409,4652959,4585323,5183528,5787058,4981207,5407859,5225967,4979448,4791538,4715834,4847109,5022975,4682587,4463113,5161274,5658667,4830748,5442795,5077533,4806863,4703664,4552795,4776319,5174136,4673861,4437332,5127176,5391857,4721090,5237741,4824987,4771095,4581593,4522148,4693846,5127841,4663289,4400657,5308060,5763146,5143725,5565646,5158913,5080395,4989469,4746701,5046547,5443640,4959392,4676811,5381144,5780610,5420881,5501766,5288697,5162452,5107500,4884112,5350920,5401893,5019223,4906526,5522468,6227313,5410816,5738419,5601959,5415433,5288623,5338948,5384790,5666416,5283396,5307445,5891132,6518014,5658403,6149416,5796498,5422734,5423071,5371963,5403176,5661298,5285766,5174334,5838435,6317374,5505429,6102939,5769243,5292688,5210683,5070896,5279283,5618775,5110482,4977675,5790823,6167692,5684227,6268449,5677049,5491978,5388193,5190543,5624557,5866082,5327331,5223698,6090965,6523999,6090793,6293912,5959073,5744801,5669428,5427896,5573220,5837348,5314172,5246903,5919628,6453597,5698137,5796511,5598206,5312871,5130043,5013111,5200114,5478414,5169089,5227859,5680294,6462004,5828450,5953328,5743946,5498660,5398471,5337903,5317093,5600150,5279411,5342992,5822778,6137895,5723919,6195657,5783547,5538689,5507107,5496590,5595827,5934594,5596426,5472274,6326453,6835413,6137762,6540737,5989321,5823127,5660933,5603115,5700012,6133849,5731978,5494849,6415592,6740280,6349888,6718331,6231178,6070361,6093338,5884536,5926394,6383342,5972906,5864684,6715028,7104531,6842385,6913458,6727862,6577279,6534028,6235456,6315308,6806510,6282109,6310033,7062623,7338396,7212623,7435483,7119200,6809356,6711773,6536363,6857123,6932662,6566152,6554634,7141030,7926320,7002888,7362008,6957020,6177232,5495766,4981129,4626753,4907486,4855881,4967141,5737745,6361035,5830600,6111334,5973435,5773128,5782091,5707895,5715642,6175548,5781332,5615490,6460757,7089341,6641997,6876942,6261892,6034475,5976590,5911268,5894629,5464370,5156440,5274605,6192942,6633636,6215133,6434779,6123529,5874198,5731291,5595065,5869516,6000611,5583636,5510036,6009181,6496205,6055929,6094407,5777316,5452775,5378703,5286090,5319738,5521456,5293499,5364741,5865329,6527377,5961504,6045769,5968153,5543090,5488933,5533432,5471179,5726639,5360697,5375559,5934901,6510070,5799693,5977663,5851685,5456672,5536242,5519051,5431659,5739901,5416877,5248018,5892360,6425729,5712305,5840204,5635121,5408980,5299234,5323472,5426528,5685810
その他,1439024,1524405,1650386,1608764,1525815,1715993,1802045,1715952,1805533,1731578,1724177,1690696,1584955,1694767,1799466,1746790,1671222,1906727,2008059,1871169,1945350,1929271,1845791,1805432,1683392,1827134,1897483,1854043,1758076,1971198,2144395,1877767,1978621,1966450,1894358,1817642,1720359,1852271,1890961,1840264,1708109,1955318,2088341,1828207,2015505,1941462,1845346,1826764,1700025,1824924,1954472,1858461,1719266,1984075,2073750,1815559,1971925,1886124,1884099,1820226,1716304,1841296,1972911,1876591,1751441,2072297,2198496,2050542,2131933,2021439,2004933,1933776,1793987,1980476,2087567,1970540,1838466,2088114,2181670,2073480,2117694,2060796,2032703,2006715,1853889,2072222,2101106,2043987,1947310,2165712,2380992,2124738,2204602,2198816,2151628,2093528,1982609,2125718,2198298,2166470,2081334,2294729,2480034,2164864,2305101,2226742,2115590,2102472,1996253,2060382,2144715,2107139,1986507,2230042,2372213,2105467,2264813,2208981,2075823,2061694,1914972,2074142,2180159,2093529,1956503,2273819,2365473,2188867,2369593,2225602,2185975,2148726,1962304,2185445,2276724,2136789,2044205,2359306,2465956,2339333,2423466,2315739,2253478,2202753,2024183,2180561,2277448,2165963,2100049,2332831,2488547,2262494,2262621,2192939,2130688,2074981,1912165,2058646,2153513,2138382,2085829,2256771,2490991,2234111,2297560,2269051,2190487,2136220,2005497,2112672,2212172,2133233,2072539,2242839,2359878,2142388,2336141,2251896,2145775,2115031,2027103,2142868,2265831,2183924,2070240,2370033,2536121,2315295,2430199,2284699,2238698,2170212,2041127,2150751,2287477,2190437,2057074,2386219,2479250,2348464,2447414,2337628,2300572,2280225,2126973,2253473,2400309,2303173,2206732,2505207,2593175,2497008,2568791,2507343,2474161,2461944,2266965,2386164,2550822,2441455,2372638,2624119,2738043,2617559,2707084,2647673,2548927,2478401,2304457,2518317,2528442,2474334,2383999,2587375,2860579,2555796,2674447,2576463,2367469,2205392,1993313,1966717,2059906,2105832,2032396,2336911,2538648,2284635,2382053,2369440,2287873,2259678,2157404,2248672,2415796,2331090,2196669,2529161,2708032,2541798,2648882,2460803,2397589,2348136,2241350,2328518,2257950,2214680,2180935,2458448,2530516,2369667,2434432,2324566,2310843,2244519,2117896,2304459,2364421,2237889,2165158,2359251,2488322,2330522,2376185,2317439,2229079,2164810,2032793,2148593,2239282,2196843,2154812,2334681,2555785,2337727,2385673,2385490,2262919,2203821,2125863,2208508,2320691,2232099,2144786,2344804,2510292,2235361,2317126,2290467,2166469,2162469,2074979,2122130,2228595,2155308,2022924,2285824,2428620,2179666,2223782,2194286,2120980,2052150,1979447,2104502,2185030
製造業計,14948934,14894630,16329223,15884065,15698865,16765272,17134166,16391326,17171327,17172695,16847828,16674165,15785672,15770806,17010880,16542894,16698693,18004877,18422784,17409752,18193558,18562516,17757087,17582473,16831508,17026220,18196382,17742506,17634547,18754056,19258655,17491681,18429925,18707357,17831006,17334590,16503203,16841580,17534595,17042054,16868215,18130790,18567382,16943696,18188576,18096043,17413462,16988767,16140119,16357819,17788297,17016067,16762421,18044573,17873734,16309852,17482539,17326846,16870762,16348077,15565757,15863823,17209356,16557300,16398686,18026811,18712101,17435598,18424829,18270636,17832258,17431053,16382132,17019837,18459095,17510044,17199381,18209063,18584292,17709181,17975457,18120010,17573364,17433023,16529324,17460898,18084509,17407853,17474615,18533002,19309396,17701881,18470798,18809246,18252194,17957867,17363027,17476161,18722405,18182524,18420655,19374703,20022456,18345750,19315834,19199465,18332255,17890503,17240394,17055383,17972220,17623143,17612485,18474501,18928824,17289725,18483872,18389183,17264350,16971088,16087764,16358599,17414277,16787961,16834299,18231203,18568580,17708891,18972655,18578696,17880929,17630799,16573690,17478939,18357880,17486480,17722525,19098305,19573825,18669077,19270961,19100417,18384636,18091677,17161068,17144268,18213060,17286113,17369274,18454250,19106977,17608840,17869624,17893473,17030478,16662399,15805412,16012486,17132389,16826364,17256357,18107708,19164772,17957599,18345450,18358028,17648958,17457469,16753997,16587512,17875302,17370613,17596712,18260732,18455282,17563894,18555939,18250501,17675809,17385309,16837474,17153893,18151287,17789156,17860718,19203446,19831550,18412118,19125613,18732349,18124454,17788536,17150107,17131601,18463629,17989676,17718193,19303776,19577177,18715551,19556637,19315972,18598304,18643417,17899271,17737413,19155489,18679710,18729092,20278911,20690773,19997917,20333399,20579130,20088242,19929979,18989636,18891996,20577199,19698136,19828718,21240204,21472213,21106885,21637996,21545730,20733779,20649129,19833577,20481528,21150383,20439104,20724586,21861053,22931046,21177195,21865212,21401004,19475654,17434864,15362407,14265209,15024593,15502705,16034953,17505449,18645901,17696411,18460632,18658587,18103107,17872596,17510864,17448233,18829768,18429760,18518826,20066804,20924144,20098224,20647808,20030815,19196065,19099090,18760987,18487020,17766899,17464318,18036221,19660102,20039859,19085355,19573790,19463436,18856678,18338608,17735248,18292128,19051492,18523861,18371175,19219787,19635006,18659135,19017238,18666845,17752655,17385124,16872405,16847204,17983360,17665959,17979284,18888032,19747797,18598347,18834640,19169636,18083799,17880251,17647616,17374740,18575555,17885887,18027384,18923534,19586686,18252396,18647934,18744974,17890446,17750276,17302309,16911005,18097613,17483528,17303119,18329330,19213048,17824079,17922798,17977907,17370339,16900800,16702347,16718418,17384633
鉱工業計,15062270,15008962,16452069,15999697,15806731,16878737,17250212,16503769,17284758,17292818,16989989,16806938,15907734,15891850,17142241,16666092,16816372,18123700,18546673,17528027,18311981,18615097,17880404,17714948,16964219,17158637,18332577,17869211,17768744,18873846,19380144,17603667,18541420,18826476,17958526,17465705,16626057,16969204,17656622,17158639,16982368,18249224,18685433,17051441,18308962,18221727,17552071,17119688,16255189,16475637,17918392,17137268,16878756,18157034,17986190,16415573,17592762,17446579,16989843,16474446,15684083,15987289,17345464,16673787,16521927,18145150,18830804,17552168,18543601,18390864,17955562,17556424,16500028,17145137,18590024,17624439,17306976,18323607,18693644,17820315,18087787,18257361,17700404,17567162,16644445,17590704,18216213,17529230,17591969,18644864,19428926,17816001,18582251,18934380,18372015,18083212,17483987,17604096,18856971,18297746,18534010,19490824,20134777,18450102,19425331,19324696,18451885,18011037,17353153,17168881,18091710,17731776,17716522,18582372,19036771,17384494,18583451,18497479,17378604,17093089,16203254,16476474,17535736,16895972,16937984,18332888,18668907,17808321,19072616,18686156,17985509,17751581,16681315,17597313,18482088,17590538,17819179,19198663,19673799,18774211,19374662,19209820,18490603,18210751,17273983,17253220,18333264,17385027,17464863,18552310,19203990,17702803,17965607,17993841,17136214,16770317,15898652,16109434,17225724,16908789,17335135,18187951,19241011,18034206,18430305,18447158,17736221,17546337,16840724,16674331,17967949,17447172,17670237,18334235,18527488,17629654,18624568,18332136,17752519,17465980,16917834,17238260,18235301,17858825,17928395,19275625,19906414,18484783,19194431,18805493,18204771,17876123,17234647,17216244,18553072,18063085,17790145,19382826,19648640,18786175,19629320,19393659,18684705,18737010,17987299,17825610,19245572,18757685,18803929,20361032,20771359,20076449,20415033,20662384,20173992,20021610,19081698,18981953,20672904,19771844,19901189,21313855,21545219,21175758,21708604,21624517,20810609,20727711,19904882,20557944,21231856,20515183,20796135,21935011,23007401,21247083,21938209,21479882,19552405,17514522,15434318,14335773,15098410,15570718,16097490,17572479,18714988,17762672,18530209,18732038,18173918,17950370,17581898,17520612,18907547,18503224,18586965,20138253,20995624,20167735,20720654,20104239,19271146,19177621,18834975,18561762,17844719,17535169,18102577,19731657,20108212,19153169,19642801,19538107,18932323,18416640,17807684,18368897,19132999,18599514,18445292,19292149,19707335,18727493,19086830,18743166,17829712,17464201,16947143,16922310,18063993,17741957,18053714,18962373,19824944,18669653,18908543,19251401,18168001,17965794,17728696,17453579,18661756,17968519,18105027,18998664,19664592,18325452,18726173,18826397,17971285,17835186,17381623,16989005,18181099,17561075,17375552,18403496,19285862,17892920,17995346,18056410,17445684,16979570,16774462,16793834,17462063
その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鉄道業,1308445,1174296,1304392,1187535,1235179,1218432,1319389,1410892,1274651,1269299,1248517,1352450,1417057,1222287,1341924,1256127,1312382,1322528,1440049,1543771,1346202,1321639,1277340,1375273,1451898,1321461,1396892,1278561,1354414,1367826,1471048,1504239,1371493,1348364,1336652,1421184,1489136,1391890,1428694,1308270,1360356,1347739,1500798,1569074,1411934,1403020,1381882,1452284,1519572,1358043,1492898,1347354,1391569,1382446,1458056,1516961,1388981,1407671,1382825,1490801,1579533,1411422,1524663,1340013,1425693,1429120,1626456,1687918,1471783,1458605,1413443,1512359,1517334,1340752,1431107,1350184,1418620,1400126,1566762,1653530,1437576,1457156,1426550,1535874,1597706,1500610,1519438,1395988,1426888,1431009,1580033,1599218,1430124,1433913,1416651,1516169,1579093,1425050,1492731,1377061,1451483,1465569,1593212,1632832,1480166,1482876,1432866,1528955,1618101,1426023,1510770,1410004,1471280,1464700,1605873,1639744,1492516,1495589,1431976,1532134,1596802,1450929,1525845,1393506,1459173,1470029,1583097,1660247,1530953,1469815,1414814,1543987,1579538,1512388,1534749,1367323,1445439,1466772,1613990,1672915,1507196,1476537,1430594,1559152,1637718,1451890,1529058,1387645,1469696,1488486,1662902,1654777,1488728,1487532,1460650,1583463,1607576,1437056,1483896,1387251,1459851,1471464,1661156,1694469,1531449,1508589,1505496,1626867,1649689,1468108,1574212,1413719,1482941,1494034,1565779,1639526,1537569,1502345,1442715,1590295,1645420,1500050,1576290,1429753,1495625,1531960,1708102,1702663,1568038,1500345,1447956,1583810,1658372,1510191,1627342,1459945,1502399,1558997,1663113,1754812,1594820,1535272,1491684,1692070,1695031,1502916,1596567,1452231,1502045,1523622,1646354,1739108,1547214,1528691,1477810,1612111,1623674,1444355,1567588,1444499,1504894,1523702,1607415,1742787,1587016,1524071,1485930,1586917,1634229,1553116,1541328,1435173,1514321,1509892,1718523,1716802,1572167,1536161,1486002,1592392,1638210,1449877,1576180,1438334,1446835,1462525,1596139,1643716,1492129,1466843,1428417,1552758,1591341,1450903,1539290,1470047,1487021,1460581,1614599,1698262,1517699,1453266,1445834,1536643,1620788,1419740,1365876,1235510,1330627,1360702,1510619,1557949,1426339,1393999,1357102,1511462,1550479,1463133,1474096,1321884,1377662,1368596,1523445,1605874,1448350,1403528,1378736,1518697,1558580,1382250,1425600,1324264,1385155,1381875,1539542,1598141,1417807,1406113,1369597,1492080,1531751,1377543,1459226,1313377,1379553,1380140,1522534,1561355,1398833,1381605,1353236,1515311,1520084,1361199,1450810,1327188,1403002,1390759,1531722,1583007,1386136,1405620,1342110,1451717,1500932,1393615,1437120
その他,1424894,1348056,1407122,1355195,1410082,1499576,1640281,1671909,1587238,1485549,1479411,1530684,1486637,1428720,1501239,1460474,1511534,1639560,1765043,1768019,1652822,1570411,1504323,1548558,1540255,1493238,1550323,1531467,1578743,1696750,1825456,1776389,1701688,1660093,1600271,1644694,1610935,1583260,1646263,1595883,1616662,1714260,1858183,1843260,1776908,1712559,1652951,1704425,1658796,1601019,1698452,1668735,1678703,1808457,1880334,1854332,1797906,1742678,1713646,1781847,1720859,1666693,1755074,1726941,1784647,1914064,2096863,2069661,1939752,1854379,1806368,1852162,1787519,1717624,1823249,1780776,1835287,1905094,2073563,2169250,1979112,1934878,1854844,1929277,1873593,1845298,1858685,1844152,1889598,1986202,2183784,2165058,2008650,1962310,1906366,1967110,1925034,1843590,1904579,1894209,1987090,2075796,2265440,2247066,2144707,2050255,1955170,2049496,2009869,1917709,1990778,2012632,2078025,2167442,2357386,2359664,2270701,2193817,2036369,2126271,2073220,2011313,2076946,2062687,2110366,2272883,2411179,2464385,2364089,2249240,2133163,2205871,2127244,2113090,2162962,2115018,2211802,2345643,2555433,2571698,2422876,2296586,2220081,2295265,2252557,2155372,2242134,2207349,2326111,2431094,2695316,2625056,2448300,2419249,2320550,2397417,2331511,2227973,2321693,2312590,2382066,2491125,2754404,2747285,2582872,2471642,2332558,2400932,2382955,2262575,2373839,2307038,2408807,2509772,2552415,2632889,2560950,2456717,2349405,2421966,2386206,2319752,2394669,2340406,2416575,2568499,2760379,2695185,2607201,2500225,2378827,2403828,2398443,2301352,2396684,2321100,2372167,2546744,2668301,2728001,2592729,2495236,2357514,2437393,2393323,2277908,2380690,2318115,2420335,2541900,2679017,2751297,2582664,2531886,2394069,2460264,2374483,2257909,2402983,2354106,2469443,2586306,2685632,2818975,2671126,2561431,2427402,2458457,2413865,2385988,2420810,2387988,2470948,2532099,2785218,2765983,2604430,2565297,2398529,2444717,2398641,2252676,2361408,2350277,2435574,2530782,2725667,2690582,2515775,2528277,2388772,2447715,2399076,2252478,2380330,2321074,2389154,2550628,2751450,2802573,2643052,2478215,2321031,2385573,2359363,2210640,2187580,2149356,2279455,2373682,2547121,2532742,2419193,2331352,2229387,2282902,2267395,2212755,2247299,2221308,2294837,2345570,2527561,2606468,2469700,2352938,2249481,2299610,2273586,2119085,2221734,2196050,2275965,2380402,2577382,2603372,2422196,2372809,2200278,2237024,2231276,2109320,2198342,2144999,2226345,2328258,2495888,2503021,2291356,2291497,2150050,2224235,2207894,2047165,2164611,2114390,2207912,2278769,2460855,2464420,2283962,2224334,2138089,2168009,2166042,2086293,2153942
その他計,2733339,2522352,2711514,2542730,2645261,2718008,2959670,3082801,2861889,2754848,2727928,2883134,2903694,2651007,2843163,2716601,2823916,2962088,3205092,3311790,2999024,2892050,2781663,2923831,2992153,2814699,2947215,2810028,2933157,3064576,3296504,3280628,3073181,3008457,2936923,3065878,3100071,2975150,3074957,2904153,2977018,3061999,3358981,3412334,3188842,3115579,3034833,3156709,3178368,2959062,3191350,3016089,3070272,3190903,3338390,3371293,3186887,3150349,3096471,3272648,3300392,3078115,3279737,3066954,3210340,3343184,3723319,3757579,3411535,3312984,3219811,3364521,3304853,3058376,3254356,3130960,3253907,3305220,3640325,3822780,3416688,3392034,3281394,3465151,3471299,3345908,3378123,3240140,3316486,3417211,3763817,3764276,3438774,3396223,3323017,3483279,3504127,3268640,3397310,3271270,3438573,3541365,3858652,3879898,3624873,3533131,3388036,3578451,3627970,3343732,3501548,3422636,3549305,3632142,3963259,3999408,3763217,3689406,3468345,3658405,3670022,3462242,3602791,3456193,3569539,3742912,3994276,4124632,3895042,3719055,3547977,3749858,3706782,3625478,3697711,3482341,3657241,3812415,4169423,4244613,3930072,3773123,3650675,3854417,3890275,3607262,3771192,3594994,3795807,3919580,4358218,4279833,3937028,3906781,3781200,3980880,3939087,3665029,3805589,3699841,3841917,3962588,4415560,4441755,4114321,3980232,3838054,4027799,4032644,3730683,3948051,3720757,3891747,4003806,4118194,4272414,4098519,3959062,3792120,4012261,4031626,3819802,3970959,3770159,3912200,4100459,4468481,4397849,4175239,4000569,3826783,3987639,4056815,3811543,4024027,3781045,3874565,4105741,4331413,4482813,4187548,4030508,3849198,4129463,4088353,3780824,3977256,3770346,3922380,4065521,4325370,4490405,4129877,4060577,3871879,4072375,3998157,3702263,3970571,3798605,3974337,4110007,4293046,4561762,4258142,4085502,3913332,4045374,4048094,3939105,3962139,3823160,3985269,4041992,4503741,4482785,4176597,4101458,3884530,4037109,4036850,3702553,3937589,3788611,3882410,3993307,4321806,4334298,4007904,3995121,3817189,4000473,3990417,3703380,3919620,3791121,3876174,4011209,4366050,4500835,4160751,3931481,3766865,3922216,3980151,3630380,3553456,3384866,3610082,3734385,4057740,4090692,3845532,3725351,3586489,3794365,3817874,3675887,3721395,3543193,3672500,3714167,4051006,4212342,3918050,3756467,3628217,3818307,3832167,3501335,3647335,3520315,3661120,3762277,4116924,4201514,3840003,3778922,3569874,3729105,3763026,3486862,3657568,3458376,3605898,3708398,4018422,4064376,3690189,3673102,3503287,3739546,3727978,3408364,3615422,3441578,3610914,3669528,3992578,4047427,3670098,3629954,3480199,3619725,3666974,3479908,3591061
